STAID,BFI5,DFI90,fdc_b,fdc_b_l,fdc_b_u,peak_event,low_event,max_flow,min_flow,annual_temp,meanPET,meanP,rc,aridity,DRAIN_SQKM,LAT,LON,snow_frac,drain_mm2,max_pptseason,min_pptseason,fall_cv,spring_cv,summer_cv,winter_cv,annual_cv,ELEV_MEAN_M_BASIN,SLOPE_PCT
01052500,0.423494306004261,0.105058976427467,2.674813025353,7.56365164432749,11.0650302272162,spring,fall,spring,winter,3.17127312134517,481.274835532109,1288.81174425221,0.656991772025147,0.373425240480993,383.8,44.877394,-71.057494,0.332096162025106,383800000000000,summer,winter,1.40215809988037,1.20694844020523,1.32635315313806,1.36904321169629,1.57703035840493,641.1,15.4
01073000,0.462977142880109,0.0379151380281575,3.30857596141986,19.4904456742181,12.0383471440302,spring,fall,spring,summer,8.57045498143763,641.700349685975,1150.1482551941,0.523736538751119,0.557928377309655,31.3,43.148696,-70.96506,0.207151873772653,31300000000000,spring,winter,2.07162147314126,1.23448172265999,2.09577501959148,1.25893473769736,1.63743526243826,58.0,3.0
01105600,0.407928853696302,0.0448325919714324,2.67583240936344,14.1025606159139,11.7293036640886,spring,summer,spring,summer,10.5181316745469,707.981632275945,1270.1122844398,0.505516390615848,0.557416569345449,12.7,42.190378,-70.944768,0.142123424227122,12700000000000,fall,summer,2.02272433569879,1.42494518168323,2.80853703573957,1.22378448404597,1.71937514965731,43.1,1.7
01111300,0.519408912343209,0.0340336068266006,3.42564726442151,20.8873568153468,12.8858606701262,fall,fall,spring,summer,9.42418841695528,667.35648507333,1246.32456578811,0.531332074048533,0.53545962535957,41.1,41.981209,-71.685901,0.191094819916773,41100000000000,winter,fall,2.6018686100381,1.08602647075299,2.45393932043419,1.02678867582785,1.54213413434716,161.8,3.6
01117000,0.623984361262876,0.102392252118456,2.65513048060825,8.99636954781308,10.7629780160881,spring,fall,spring,fall,10.411103476031,699.566697020605,1273.66548987776,0.585146957939302,0.549254653266727,59.7,41.641212,-71.445335,0.133745364214097,59700000000000,winter,summer,1.44067641776896,0.851898413203051,1.41549153625761,0.723260420259593,1.09676910267003,57.8,2.4
01118300,0.509051558361009,0.0364598022822134,3.26726939980833,17.4544293509982,11.1823886604978,spring,summer,spring,summer,10.0062715798543,680.443170807464,1260.67630003492,0.615977195458443,0.539744556781638,10.4,41.474821,-71.834237,0.143475154582303,10400000000000,fall,summer,1.63535417576303,1.02507757705797,2.20616444829716,0.895657464929518,1.32390302833693,103.8,4.7
01137500,0.49874954161066,0.195940643754642,2.23341841830691,4.71319153365258,10.0110304063845,winter,summer,spring,summer,4.12903605506615,494.485632705401,1544.53956507643,0.562412407955699,0.320150835812957,228.6,44.268674,-71.630362,0.313084048949557,228600000000000,summer,winter,1.4260226658463,1.0319146928,1.17919929479395,1.47487906435528,1.34973519413364,754.5,19.2
01142500,0.560926177387679,0.137732993738083,2.40072386547746,8.83564809614116,10.4504652243258,summer,summer,spring,summer,5.51529544112809,542.776754684201,1113.70188405911,0.556621896964729,0.487362697731948,82.2,43.93451,-72.657882,0.306040903078792,82200000000000,summer,winter,1.1339792917098,0.91733655817901,1.54046930416606,0.961410567389441,1.23978835857573,414.6,14.9
01153550,0.458751227825682,0.0788029363228026,2.6106147702889,7.22624439779673,11.3382935383196,summer,fall,spring,summer,6.74364708961778,578.935872550746,1194.93462119864,0.548699679443924,0.484491671996259,289.6,43.191743,-72.485089,0.282014610873573,289600000000000,fall,spring,1.64421280439039,1.16591895771083,1.97662252265363,1.22898500421566,1.55250021765929,388.9,14.8
01169000,0.45433927811218,0.0871033020092626,2.62163241967253,7.57106115762954,12.3046894122912,summer,fall,spring,summer,6.61817820076869,570.694265722249,1372.98144857115,0.589935323948885,0.415660580349549,230.6,42.638418,-72.725092,0.287204372177223,230600000000000,fall,spring,1.7656635823409,1.1820465832589,2.1063685426795,1.24458606977472,1.55158191185647,432.1,12.4
01170100,0.500465772487515,0.101339017716704,2.64237933886372,7.15563318756379,11.3611327810062,summer,fall,spring,summer,6.79532469765324,578.677527741309,1370.70656188806,0.568801236425165,0.422174624264013,107,42.703417,-72.670648,0.28007884128136,107000000000000,fall,spring,1.59596502691501,1.03165464567862,1.79117124705011,1.11519588799742,1.37775238538912,410.9,13.6
01195100,0.451008032772686,0.0218735357991917,3.50459062228088,17.1871516184479,12.6986667557299,summer,summer,spring,summer,10.7111900527557,713.070486827733,1294.15973021189,0.452729035467993,0.55099109497943,14.8,41.305933,-72.531201,0.113880721768144,14800000000000,fall,summer,2.22458292349483,1.14732113949671,3.70841047125645,1.08374056906351,1.66833689911435,71.3,4.1
01208950,0.448369242597108,0.0325865410074029,3.14816236028855,18.4548957475146,11.0907069157673,spring,summer,spring,summer,10.9610782940398,728.092074330996,1246.14872706731,0.519650827134897,0.584273817816666,19.2,41.152874,-73.305949,0.107645361968227,19200000000000,spring,summer,2.01773729128673,1.34007390944318,2.22305286457484,1.09905805827759,1.59463852708454,69.7,3.4
01303500,0.805967847486999,0.54097780604723,1.27882302166693,7.29650418260725,8.3601733729235,fall,winter,spring,fall,12.0229260398395,766.572506577979,1193.57436598142,0.107599159750238,0.642249472195779,19,40.857321,-73.463455,0.0594347391625529,19000000000000,fall,fall,0.709432388588927,0.550614654143679,0.645307622533785,0.520047783993067,0.607424719878644,64.2,3.9
01306440,0.902154132965817,0.469206208069538,1.85636504131649,8.24360479320965,4.65151502773149,summer,summer,spring,fall,11.6901222056561,752.627267759539,1199.46069867412,0.11434739972174,0.6274713865919,41.7,40.792598,-73.165669,0.0730840818905074,41700000000000,spring,summer,0.706610148523931,0.484152599991611,0.65586894208837,0.52674182487345,0.60324385910562,30.4,1.2
01306460,0.929424978570959,0.690357105092644,0.949383332876875,2.3406352386595,5.50813430575696,summer,summer,spring,fall,11.62930662327,749.65727570369,1197.7693393098,0.349957170228623,0.625877830647819,55.7,40.772043,-73.158724,0.0730821547879148,55700000000000,spring,summer,0.350082436625152,0.283216164032856,0.385969982712323,0.27976304200084,0.341140575223325,28.2,1.1
01308000,0.778867623140412,0.38769699904637,1.43725659612085,5.32693256510138,8.55938723519696,summer,summer,spring,fall,12.1807932782702,776.113847054633,1194.60642697314,0.122807042331126,0.64968162696155,58.2,40.704266,-73.314008,0.0604777634924923,58200000000000,spring,fall,0.76039867641614,0.55155545335007,0.838918873069897,0.582268808485905,0.687556647444463,43.7,1.1
01333000,0.529818309413385,0.129340235167377,2.43959163256103,7.15405808404245,8.86924934287924,spring,fall,spring,summer,7.12875246296592,587.494361769867,1245.9862957105,0.572130861702871,0.471509489143185,112.2,42.708969,-73.196773,0.245188431829323,112200000000000,fall,winter,1.35989319991593,0.905016020178501,1.51736904553763,1.06125631343439,1.20380283257578,478.5,21.1
01350080,0.449636891870795,0.0710867361678549,3.45697163530068,7.70882348175445,12.4472512866186,summer,summer,spring,summer,6.66155258042055,565.632932728705,1063.24874094566,0.504170424869426,0.531985518483311,83.8,42.377026,-74.412924,0.25225460187962,83800000000000,summer,winter,1.97127642709148,1.2301374265291,2.6906303704153,1.38697289116872,1.70157005544266,591.7,12.1
01350120,0.573609235089904,0.135737229210952,2.94352430841235,5.23255901209015,12.131257383726,summer,fall,spring,fall,6.95439232748999,576.992303451079,1024.90967472129,0.410589103631637,0.562968930513788,29.5,42.406191,-74.447091,0.238807822517449,29500000000000,summer,winter,1.56596090111916,1.08720284741812,1.96590611112611,0.993388714447369,1.4121153365438,563.8,9.2
